title,website,phone,address
Escuela de Vuelo Aeronáutica Vitar,http://www.escuelavitar.com.mx/,+52 55 5571 2604,"Bellas Artes 362, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México"
IMCC Instituto Mexicano de Capacitación y Certificación Plantel Zaragoza,https://imcescuelasuperior.com.mx/plantel-zaragoza,+52 56 1509 5599,"Calz. Ignacio Zaragoza 574, 4 Árboles, Venustiano Carranza, 15730 Ciudad de México, CDMX, México"
"Escuela de Aviación ""México""",http://www.escuelamexico.com.mx/,+52 55 2643 0033,"Calle Procuraduría Gral. de Justicia 207, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México"
Prepárate UNAM,https://www.facebook.com/PreparateUNAM,+52 55 2758 0441,"Acolhuacan 1, Arenal 4ta Secc, Venustiano Carranza, 15640 Ciudad de México, CDMX, México"
Consejo mexicano de medicina de urgencias,,,"Viad. Piedad 551, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
EAV Centro Universitario y Escuela de Aviación,https://eav.edu.mx/,+52 55 3401 5655,"Blvd. Puerto Aéreo 81, Industrial Puerto Aéreo, Venustiano Carranza, 15710 Ciudad de México, CDMX, México"
Curso UNAM 2024,https://cursocie.com.mx/,+52 55 1209 1313,"Retorno, 45 de Cecilio Robelo 74, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
Instituto Tecnológico Nacional,,+52 55 2124 3051,"José J. Jasso 2 primer piso, Moctezuma 1a Sección, 15500 Venustiano Carranza, CDMX, México"
Giovanni ️,,,"Ote. 166 98, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, México"
ALAFAC Academia,,,"Delegación, Av. 4 # 169-9, Agrícola Pantitlán, Iztacalco, 08100 Ciudad de México, CDMX, México"
Escuela Superior de Comercio Internacional,https://www.esci.edu.mx/contacto/contacto.php,+52 55 4472 4345,"Aviación Civil 1, Industrial Puerto Aéreo, Venustiano Carranza, 15710 Ciudad de México, CDMX, México"
Trade International,http://www.esci.edu.mx/,+52 55 5764 0835,"Fray Servando Teresa de Mier, 881Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
Trabajo,,,"Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México"
matematicas aplicadas para ingenieria en sistemas,,+52 55 4422 7729,"C. 27 203, Ignacio Zaragoza, Venustiano Carranza, 15000 Ciudad de México, CDMX, México"
Universidad Empresarial y Estudios Sociales S.C.,,+52 55 8993 7589,"Mártires Irlandeses, San Mateo, Coyoacán, 04120 Ciudad de México, CDMX, México"
Universidad Panamericana Facultad De Derecho,http://www.up.edu.mx/es/escuelas/gdl/derecho/investigaciones-derecho-gdl,+52 55 5482 1600,"Campana 91, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México"
Instituto Fleming Zaragoza,http://www.institutofleming.edu.mx/,+52 55 4538 2960,"Calz. Ignacio Zaragoza 675, Puebla, Venustiano Carranza, 15020 Ciudad de México, CDMX, México"
Centro,http://www.ceneval.edu.mx/,+52 55 5322 9200,"C. Avena 201-203, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México"
GLOBO IZTACALCO,,,"Ote. 233 154, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, México"
Instituto Pedagogico Infantil Mexico,,,"Universidad Nacional 1, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México"
Coyoacan,,,"Calz. Ignacio Zaragoza 257, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México"
ciocoordinacioneditorialfacultadderecho,http://coordinacioneditorialfacultadderecho.com/,+52 55 5622 1888,"Cto. Interior s/n, C.U., Venustiano Carranza, 15000 Ciudad de México, CDMX, México"
Escuela de aviación,,,"Av. 4 285, Ignacio Zaragoza, Venustiano Carranza, 15000 Ciudad de México, CDMX, México"
