title,website,phone,address,content,Emails
Escuela de Vuelo Aeronáutica Vitar,http://www.escuelavitar.com.mx/,+52 55 5571 2604,"Bellas Artes 362, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
IMCC Instituto Mexicano de Capacitación y Certificación Plantel Zaragoza,https://imcescuelasuperior.com.mx/plantel-zaragoza,+52 56 1509 5599,"Calz. Ignacio Zaragoza 574, 4 Árboles, Venustiano Carranza, 15730 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Escuela de Aviación ""México""",http://www.escuelamexico.com.mx/,+52 55 2643 0033,"Calle Procuraduría Gral. de Justicia 207, Federal, Venustiano Carranza, 15700 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Prepárate UNAM,https://www.facebook.com/PreparateUNAM,+52 55 2758 0441,"Acolhuacan 1, Arenal 4ta Secc, Venustiano Carranza, 15640 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Curso UNAM 2024,https://cursocie.com.mx/,+52 55 1209 1313,"Retorno, 45 de Cecilio Robelo 74, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Escuela Superior de Comercio Internacional,https://www.esci.edu.mx/contacto/contacto.php,+52 55 4472 4345,"Aviación Civil 1, Industrial Puerto Aéreo, Venustiano Carranza, 15710 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Trade International,http://www.esci.edu.mx/,+52 55 5764 0835,"Fray Servando Teresa de Mier, 881Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Panamericana Facultad De Derecho,http://www.up.edu.mx/es/escuelas/gdl/derecho/investigaciones-derecho-gdl,+52 55 5482 1600,"Campana 91, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Centro,http://www.ceneval.edu.mx/,+52 55 5322 9200,"C. Avena 201-203, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
ciocoordinacioneditorialfacultadderecho,http://coordinacioneditorialfacultadderecho.com/,+52 55 5622 1888,"Cto. Interior s/n, C.U., Venustiano Carranza, 15000 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universitario Conversa Moctezuma,http://www.conversa.com.mx/,+52 55 2235 0481,"Calz. Ignacio Zaragoza 81, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
IFICED,http://www.ificed.mx/,+52 55 5648 4199,"Av. Río Churubusco, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad ADO,https://universidad.mobilityado.com/,+52 55 5133 1100,"Av. F.F.C.C. Industrial 240, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Colegio Williams,http://www.colegiowilliams.edu.mx/,+52 55 1087 9797,"Av. La Felicidad SN, Tlalpan, 14700 San Miguel Ajusco, CDMX, México",Error scraping content,Error extracting emails
Lovenglish,https://wa.me/message/RUHBKDGQ2CXBP1,+52 55 8745 4228,"Cda. Cruz Eslava 2, Tlalpan, 14735 Lomas de Tepemecatl, CDMX, México",Error scraping content,Error extracting emails
UNIVERSIDAD PANAMERICANA,https://www.up.edu.mx/es/mexico,+52 55 5482 1600,"Cda. Augusto Rodin No. 498, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Panamericana en línea (Pedagogía y Filosofía),https://movil.up.edu.mx/universidad-panamericana-en-linea,+52 55 5482 1600,"Cda. Augusto Rodin 460, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Humanitas Campus Santa Fe,http://www.humanitas.edu.mx/,+52 55 5292 2214,"C. Guillermo Gonzalez Camarena 1900, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Nacional Autónoma de México,https://www.unam.mx/,,"C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Insurgentes Plantel Tláhuac,http://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Av. Tlahuac 1789, San Antonio, Iztapalapa, 09900 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Mexicana del Evangelio de Cristo UMEC,https://www.umec.com.mx/,+52 55 6899 2315,"Carr. Federal A Cuernavaca Km. 36, 5 Ciclopista, Tlalpan 1500, Tlalpan, Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UVM Tlalpan - Universidad del Valle de México,https://uvm.mx/la-uvm/campus/tlalpan/?utm_source=GOOGLE_MY_BUSINESS&utm_medium=ORGANIC&utm_campaign=GM_UVM_TLP&utm_term=CONOCER_CAMPUS&utm_content=PRESTIGIO,+52 800 000 0886,"Calle San Juan de Dios 6, Coapa, Villa Lázaro Cárdenas, Tlalpan, 14370 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Uk,http://universidaduk.com/,+52 800 099 1250,"Eje Central Lázaro Cárdenas 13, Colonia Centro, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Insurgentes Plantel San Ángel,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Av. Revolución #1836 Col. San Ángel Del, Álvaro Obregón, 01000 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UIN - Universidad Insurgentes Plantel Tlalpan,http://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 390, Viaducto Piedad, Iztacalco, 08200 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UIN - Universidad Insurgentes Plantel Viaducto,http://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 538, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
UNIVERSIDAD INSURGENTES PLANTEL VILLA DE CORTÉS,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 934, Nativitas, Benito Juárez, 03500 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Motolinía del Pedregal,https://universidadmotoliniadelpedregal.com/,+52 55 5568 0559,"Av. de Las Fuentes 525, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Universidades para el Bienestar ""Benito Juárez García"" sede Cuauhtémoc",https://ubbj.gob.mx/carrera,+52 55 5518 2689,"Luis González Obregón 9, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 11270 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
DIVISION SISTEMA UNIVERSIDAD ABIERTA Y EDUCACION A DISTANCIA,http://fcaenlinea1.unam.mx/,,"Facultad de contaduría 2do piso, Cto. Exterior 300, Coyoacán, CDMX, México",Error scraping content,Error extracting emails
Universidad Insurgentes Plantel Coruña,https://www.universidadinsurgentes.edu.mx/,+52 55 5512 1212,"Calz. de Tlalpan 400, Viaducto Piedad, Iztacalco, 08200 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad Europea Campus Aeropuerto,http://liceo-europeo.edu.mx/,+52 55 5785 1604,"J, Av. Jesús G. Y Villa 120, Jardín Balbuena, Venustiano Carranza, 15000 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
Universidad ICEL - Campus Ermita,http://www.icel.edu.mx/,+52 55 5613 1344,"Ermita Iztapalapa 1907, Los Ángeles, Iztapalapa, 09710 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Departamento de Cirugía, FACMED UNAM",http://cirugia.facmed.unam.mx/,+52 55 5623 2160,"AV. UNIVERSIDAD 3000, Escolar SN-S, Coyoacán, 04510 CDMX, México",Error scraping content,Error extracting emails
Dirección General de Obras y Conservación UNAM,http://www.obras.unam.mx/,,"Av. Revolución 2045, C.U., Coyoacán, 01090 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
"Instituto de Religión Churubusco, Iglesia de Jesucristo de los Santos de los Últimos Días",https://www.churchofjesuschrist.org/si/institute?utm_source=gmb&utm_medium=yext&y_source=1_MTAwOTE4NDQ5NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+52 55 5658 4042,"Filosofía y Letras 29, Copilco Universidad, Coyoacán, 04360 Ciudad de México, CDMX, México",Error scraping content,Error extracting emails
